timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-11T05:01:00Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:00Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:00Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:01Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:01Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:01Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:03Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:03Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:03Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:04Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:04Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:04Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:05Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:05Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:05Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:06Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:06Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:06Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:08Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:08Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:08Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:09Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:09Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:09Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:10Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:10Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:10Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:11Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:11Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:11Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:13Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:13Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:13Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:14Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:14Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:14Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:15Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:15Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:15Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:17Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:17Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:17Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:18Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:18Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:18Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:19Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:19Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:19Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:21Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:21Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:21Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:22Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:22Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:22Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:23Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:23Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:23Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:25Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:25Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:25Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:26Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:26Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:26Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:27Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:27Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:27Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:28Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:28Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:28Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:30Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:30Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:30Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:31Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:31Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:31Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:32Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:32Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:32Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:33Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
