timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-20T01:49:46Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,14878200n,34284Ki
2025-04-20T01:49:46Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,751918n,1624Ki
2025-04-20T01:49:46Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,881599n,1872Ki
2025-04-20T01:49:47Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,14878200n,34284Ki
2025-04-20T01:49:47Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,751918n,1624Ki
2025-04-20T01:49:47Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,881599n,1872Ki
2025-04-20T01:49:48Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,14878200n,34284Ki
2025-04-20T01:49:48Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,751918n,1624Ki
2025-04-20T01:49:48Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,881599n,1872Ki
2025-04-20T01:49:49Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,5696785n,51396Ki
2025-04-20T01:49:49Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,65781n,1616Ki
2025-04-20T01:49:49Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,285945872n,5464Ki
2025-04-20T01:49:49Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,358426413n,45424Ki
2025-04-20T01:49:50Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,7505055n,51352Ki
2025-04-20T01:49:50Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,135740n,1616Ki
2025-04-20T01:49:50Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,233343646n,5464Ki
2025-04-20T01:49:50Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,358426413n,45424Ki
2025-04-20T01:49:51Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,5696785n,51396Ki
