timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-08T04:11:27Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1464255n,21868Ki
2025-04-08T04:11:27Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,320733n,3952Ki
2025-04-08T04:11:27Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,743056n,12604Ki
2025-04-08T04:11:27Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,201241n,15304Ki
2025-04-08T04:11:27Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,153081n,15872Ki
2025-04-08T04:11:27Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,426569n,11812Ki
2025-04-08T04:11:27Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,224268n,21780Ki
2025-04-08T04:11:27Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,364397n,11784Ki
2025-04-08T04:11:27Z,service-mesh-benchmark,fortio-server-b698dfb68-z2sdc,linkerd-proxy,285672n,24116Ki
2025-04-08T04:11:29Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1464255n,21868Ki
2025-04-08T04:11:29Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,320733n,3952Ki
2025-04-08T04:11:29Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,743056n,12604Ki
2025-04-08T04:11:29Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,201241n,15304Ki
2025-04-08T04:11:29Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,153081n,15872Ki
2025-04-08T04:11:29Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,426569n,11812Ki
2025-04-08T04:11:29Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,224268n,21780Ki
2025-04-08T04:11:29Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,364397n,11784Ki
2025-04-08T04:11:30Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1464255n,21868Ki
2025-04-08T04:11:30Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,320733n,3952Ki
2025-04-08T04:11:30Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,743056n,12604Ki
2025-04-08T04:11:30Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,201241n,15304Ki
2025-04-08T04:11:30Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,153081n,15872Ki
2025-04-08T04:11:30Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,426569n,11812Ki
2025-04-08T04:11:30Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,224268n,21780Ki
2025-04-08T04:11:30Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,364397n,11784Ki
2025-04-08T04:11:31Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1464255n,21868Ki
2025-04-08T04:11:31Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,320733n,3952Ki
2025-04-08T04:11:31Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,743056n,12604Ki
2025-04-08T04:11:31Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,201241n,15304Ki
2025-04-08T04:11:31Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,153081n,15872Ki
2025-04-08T04:11:31Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,426569n,11812Ki
2025-04-08T04:11:31Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,224268n,21780Ki
2025-04-08T04:11:31Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,364397n,11784Ki
2025-04-08T04:11:33Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1464255n,21868Ki
2025-04-08T04:11:33Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,320733n,3952Ki
2025-04-08T04:11:33Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,743056n,12604Ki
2025-04-08T04:11:33Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,201241n,15304Ki
2025-04-08T04:11:33Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,153081n,15872Ki
2025-04-08T04:11:33Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,426569n,11812Ki
2025-04-08T04:11:33Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,224268n,21780Ki
2025-04-08T04:11:33Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,364397n,11784Ki
2025-04-08T04:11:34Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1464255n,21868Ki
2025-04-08T04:11:34Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,320733n,3952Ki
2025-04-08T04:11:34Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,743056n,12604Ki
2025-04-08T04:11:34Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,201241n,15304Ki
2025-04-08T04:11:34Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,153081n,15872Ki
2025-04-08T04:11:34Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,426569n,11812Ki
2025-04-08T04:11:34Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,224268n,21780Ki
2025-04-08T04:11:34Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,364397n,11784Ki
2025-04-08T04:11:35Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1464255n,21868Ki
2025-04-08T04:11:35Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,320733n,3952Ki
