timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-17T17:15:14Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,4566263n,18072Ki
2025-04-17T17:15:14Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,2287001n,4020Ki
2025-04-17T17:15:14Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,956380n,14328Ki
2025-04-17T17:15:14Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,1541203n,15804Ki
2025-04-17T17:15:14Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,217874n,15832Ki
2025-04-17T17:15:14Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,388481n,12116Ki
2025-04-17T17:15:14Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,5077689n,17084Ki
2025-04-17T17:15:14Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,432102n,12124Ki
2025-04-17T17:15:14Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,235506682n,14708Ki
2025-04-17T17:15:14Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,272884369n,15272Ki
2025-04-17T17:15:15Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,4566263n,18072Ki
2025-04-17T17:15:15Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,2287001n,4020Ki
2025-04-17T17:15:15Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,linkerd-proxy,956380n,14328Ki
2025-04-17T17:15:15Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,sp-validator,1541203n,15804Ki
2025-04-17T17:15:15Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,identity,217874n,15832Ki
2025-04-17T17:15:15Z,control-plane,linkerd,linkerd-identity-5886fd48d6-xhlps,linkerd-proxy,388481n,12116Ki
2025-04-17T17:15:15Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,proxy-injector,5077689n,17084Ki
2025-04-17T17:15:15Z,control-plane,linkerd,linkerd-proxy-injector-594bccdff8-qcfbs,linkerd-proxy,432102n,12124Ki
2025-04-17T17:15:15Z,data-plane,service-mesh-benchmark,fortio-client-694dcf998-x282z,linkerd-proxy,235506682n,14708Ki
2025-04-17T17:15:15Z,data-plane,service-mesh-benchmark,fortio-server-db7f5ff86-5trrk,linkerd-proxy,272884369n,15272Ki
2025-04-17T17:15:17Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,destination,4566263n,18072Ki
2025-04-17T17:15:17Z,control-plane,linkerd,linkerd-destination-78c996c95b-znmwg,policy,2287001n,4020Ki
