timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-19T11:54:32Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,destination,755583n,18176Ki
2025-04-19T11:54:32Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,policy,150212n,4092Ki
2025-04-19T11:54:32Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,linkerd-proxy,361605n,14332Ki
2025-04-19T11:54:32Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,sp-validator,70641n,13700Ki
2025-04-19T11:54:32Z,control-plane,linkerd,linkerd-identity-57cff648b8-87zmm,identity,75068n,14200Ki
2025-04-19T11:54:32Z,control-plane,linkerd,linkerd-identity-57cff648b8-87zmm,linkerd-proxy,219052n,12092Ki
2025-04-19T11:54:32Z,control-plane,linkerd,linkerd-proxy-injector-796448c7f5-nnvbc,proxy-injector,110646n,19040Ki
2025-04-19T11:54:32Z,control-plane,linkerd,linkerd-proxy-injector-796448c7f5-nnvbc,linkerd-proxy,251848n,12112Ki
2025-04-19T11:54:32Z,data-plane,service-mesh-benchmark,fortio-client-5c8bd9565b-5h65c,linkerd-proxy,730377248n,14136Ki
2025-04-19T11:54:32Z,data-plane,service-mesh-benchmark,fortio-server-6bcf7ffdd-4k7zs,linkerd-proxy,640613445n,17796Ki
2025-04-19T11:54:34Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,destination,755583n,18176Ki
2025-04-19T11:54:34Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,policy,150212n,4092Ki
2025-04-19T11:54:34Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,linkerd-proxy,380599n,14320Ki
2025-04-19T11:54:34Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,sp-validator,70641n,13700Ki
2025-04-19T11:54:34Z,control-plane,linkerd,linkerd-identity-57cff648b8-87zmm,identity,75068n,14200Ki
2025-04-19T11:54:34Z,control-plane,linkerd,linkerd-identity-57cff648b8-87zmm,linkerd-proxy,219052n,12092Ki
2025-04-19T11:54:34Z,control-plane,linkerd,linkerd-proxy-injector-796448c7f5-nnvbc,proxy-injector,104358n,19040Ki
2025-04-19T11:54:34Z,control-plane,linkerd,linkerd-proxy-injector-796448c7f5-nnvbc,linkerd-proxy,251848n,12112Ki
2025-04-19T11:54:34Z,data-plane,service-mesh-benchmark,fortio-client-5c8bd9565b-5h65c,linkerd-proxy,730377248n,14136Ki
2025-04-19T11:54:34Z,data-plane,service-mesh-benchmark,fortio-server-6bcf7ffdd-4k7zs,linkerd-proxy,640613445n,17796Ki
2025-04-19T11:54:35Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,destination,755583n,18176Ki
2025-04-19T11:54:35Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,policy,150212n,4092Ki
2025-04-19T11:54:35Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,linkerd-proxy,380599n,14320Ki
2025-04-19T11:54:35Z,control-plane,linkerd,linkerd-destination-69684888c4-96bcn,sp-validator,70641n,13700Ki
2025-04-19T11:54:35Z,control-plane,linkerd,linkerd-identity-57cff648b8-87zmm,identity,75068n,14200Ki
2025-04-19T11:54:35Z,control-plane,linkerd,linkerd-identity-57cff648b8-87zmm,linkerd-proxy,219052n,12092Ki
2025-04-19T11:54:35Z,control-plane,linkerd,linkerd-proxy-injector-796448c7f5-nnvbc,proxy-injector,104358n,19040Ki
