timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-08T16:47:54Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:47:54Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:47:54Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:47:54Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:47:55Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:47:55Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:47:55Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:47:55Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:47:56Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:47:56Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:47:56Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:47:56Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:47:57Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:47:57Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:47:57Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:47:57Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:47:59Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:47:59Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:47:59Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:47:59Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:00Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:00Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:00Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:00Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:01Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:01Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:01Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:01Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
