timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-08T04:13:39Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1257675n,21864Ki
2025-04-08T04:13:39Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,295570n,3996Ki
2025-04-08T04:13:39Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,614389n,12632Ki
2025-04-08T04:13:39Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,200432n,15304Ki
2025-04-08T04:13:39Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,162601n,15876Ki
2025-04-08T04:13:39Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,384470n,11812Ki
2025-04-08T04:13:39Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,219059n,21796Ki
2025-04-08T04:13:39Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,374784n,11784Ki
2025-04-08T04:13:39Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,216200496n,20448Ki
2025-04-08T04:13:40Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1257675n,21864Ki
2025-04-08T04:13:40Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,295570n,3996Ki
2025-04-08T04:13:40Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,614389n,12632Ki
2025-04-08T04:13:40Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,200432n,15304Ki
2025-04-08T04:13:40Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,162601n,15876Ki
2025-04-08T04:13:40Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,384470n,11812Ki
2025-04-08T04:13:40Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,219059n,21796Ki
2025-04-08T04:13:40Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,374784n,11784Ki
2025-04-08T04:13:40Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,216200496n,20448Ki
2025-04-08T04:13:42Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1257675n,21864Ki
2025-04-08T04:13:42Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,295570n,3996Ki
2025-04-08T04:13:42Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,614389n,12632Ki
2025-04-08T04:13:42Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,200432n,15304Ki
2025-04-08T04:13:42Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,162601n,15876Ki
2025-04-08T04:13:42Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,384470n,11812Ki
2025-04-08T04:13:42Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,219059n,21796Ki
2025-04-08T04:13:42Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,374784n,11784Ki
2025-04-08T04:13:42Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,216200496n,20448Ki
2025-04-08T04:13:43Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1257675n,21864Ki
2025-04-08T04:13:43Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,295570n,3996Ki
2025-04-08T04:13:43Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,614389n,12632Ki
2025-04-08T04:13:43Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,200432n,15304Ki
2025-04-08T04:13:43Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,162601n,15876Ki
2025-04-08T04:13:43Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,384470n,11812Ki
2025-04-08T04:13:43Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,219059n,21796Ki
2025-04-08T04:13:43Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,374784n,11784Ki
2025-04-08T04:13:43Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,216200496n,20448Ki
2025-04-08T04:13:44Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1257675n,21864Ki
2025-04-08T04:13:44Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,295570n,3996Ki
2025-04-08T04:13:44Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,614389n,12632Ki
2025-04-08T04:13:44Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,200432n,15304Ki
2025-04-08T04:13:44Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,162601n,15876Ki
2025-04-08T04:13:44Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,384470n,11812Ki
2025-04-08T04:13:44Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,219059n,21796Ki
2025-04-08T04:13:44Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,374784n,11784Ki
2025-04-08T04:13:44Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,216200496n,20448Ki
2025-04-08T04:13:46Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1257675n,21864Ki
2025-04-08T04:13:46Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,295570n,3996Ki
2025-04-08T04:13:46Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,614389n,12632Ki
2025-04-08T04:13:46Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,200432n,15304Ki
2025-04-08T04:13:46Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,162601n,15876Ki
2025-04-08T04:13:46Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,384470n,11812Ki
2025-04-08T04:13:46Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,219059n,21796Ki
2025-04-08T04:13:46Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,374784n,11784Ki
2025-04-08T04:13:46Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,216200496n,20448Ki
2025-04-08T04:13:47Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1257675n,21864Ki
2025-04-08T04:13:47Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,295570n,3996Ki
2025-04-08T04:13:47Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,614389n,12632Ki
2025-04-08T04:13:47Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,200432n,15304Ki
2025-04-08T04:13:47Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,162601n,15876Ki
2025-04-08T04:13:47Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,384470n,11812Ki
2025-04-08T04:13:47Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,219059n,21796Ki
2025-04-08T04:13:47Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,374784n,11784Ki
2025-04-08T04:13:47Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,216200496n,20448Ki
2025-04-08T04:13:48Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1257675n,21864Ki
2025-04-08T04:13:48Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,295570n,3996Ki
2025-04-08T04:13:48Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,614389n,12632Ki
2025-04-08T04:13:48Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,200432n,15304Ki
2025-04-08T04:13:48Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,162601n,15876Ki
2025-04-08T04:13:48Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,384470n,11812Ki
