timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-20T02:03:26Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1323186n,49700Ki
2025-04-20T02:03:26Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,35386n,1624Ki
2025-04-20T02:03:26Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,119403855n,4848Ki
2025-04-20T02:03:26Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,224892961n,47456Ki
2025-04-20T02:03:27Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1323186n,49700Ki
2025-04-20T02:03:27Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,35386n,1624Ki
2025-04-20T02:03:27Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,119403855n,4848Ki
2025-04-20T02:03:27Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,224892961n,47456Ki
2025-04-20T02:03:28Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1323186n,49700Ki
2025-04-20T02:03:28Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,35386n,1624Ki
2025-04-20T02:03:28Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,119403855n,4848Ki
2025-04-20T02:03:28Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,224892961n,47456Ki
2025-04-20T02:03:30Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1323186n,49700Ki
2025-04-20T02:03:30Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,35386n,1624Ki
2025-04-20T02:03:30Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,119403855n,4848Ki
2025-04-20T02:03:30Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,224892961n,47456Ki
2025-04-20T02:03:31Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1323186n,49700Ki
2025-04-20T02:03:31Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,38440n,1624Ki
2025-04-20T02:03:31Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,119403855n,4848Ki
2025-04-20T02:03:31Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,224892961n,47456Ki
2025-04-20T02:03:32Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1323186n,49700Ki
2025-04-20T02:03:32Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,38440n,1624Ki
2025-04-20T02:03:32Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,119403855n,4848Ki
2025-04-20T02:03:32Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,224892961n,47456Ki
