timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-13T11:35:40Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,1768909n,68868Ki
2025-04-13T11:35:40Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,276209778n,145200Ki
2025-04-13T11:35:40Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,48779n,1852Ki
2025-04-13T11:35:40Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,511590523n,51216Ki
2025-04-13T11:35:41Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,1768909n,68868Ki
2025-04-13T11:35:41Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,276209778n,145200Ki
2025-04-13T11:35:41Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,48779n,1852Ki
2025-04-13T11:35:41Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,512748140n,51280Ki
2025-04-13T11:35:42Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,1768909n,68868Ki
2025-04-13T11:35:42Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,276209778n,145200Ki
2025-04-13T11:35:42Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,48779n,1852Ki
2025-04-13T11:35:42Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,511590523n,51216Ki
2025-04-13T11:35:44Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,1768909n,68868Ki
2025-04-13T11:35:44Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,276209778n,145200Ki
2025-04-13T11:35:44Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,48779n,1852Ki
2025-04-13T11:35:44Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,512748140n,51280Ki
2025-04-13T11:35:45Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,1768909n,68868Ki
2025-04-13T11:35:45Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,276209778n,145200Ki
2025-04-13T11:35:45Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,48779n,1852Ki
2025-04-13T11:35:45Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,511590523n,51216Ki
2025-04-13T11:35:46Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:46Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:46Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:46Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:35:47Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:47Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:47Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:47Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:35:49Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:49Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:49Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:49Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:35:50Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:50Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:50Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:50Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:35:51Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:51Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:51Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:51Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:35:52Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:52Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:52Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:52Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:35:53Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:53Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:53Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:53Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:35:55Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:55Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:55Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:55Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:35:56Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:56Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:56Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:56Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:35:57Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:57Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:57Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:57Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:35:58Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:58Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:58Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:58Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:35:59Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:35:59Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:35:59Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:35:59Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:36:01Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:01Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:01Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:01Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:36:02Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:02Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:02Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:02Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:36:03Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:03Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:03Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:03Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:36:04Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:04Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:04Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:04Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:36:05Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:05Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:05Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:05Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:36:07Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:07Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:07Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:07Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:36:08Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:08Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:08Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:08Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:36:09Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:09Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:09Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:09Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:36:10Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:10Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:10Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:10Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:36:11Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:11Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:11Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:11Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:36:13Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:13Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:13Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:13Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:36:14Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:14Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:14Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:14Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,493324262n,85792Ki
2025-04-13T11:36:15Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
2025-04-13T11:36:15Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,474978047n,150244Ki
2025-04-13T11:36:15Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,46551n,1852Ki
2025-04-13T11:36:15Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,637551754n,86428Ki
2025-04-13T11:36:16Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,2435440n,68740Ki
