timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-11T04:22:36Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1262633n,24344Ki
2025-04-11T04:22:36Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,273349n,4940Ki
2025-04-11T04:22:36Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,714048n,14364Ki
2025-04-11T04:22:36Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,96495n,20276Ki
2025-04-11T04:22:36Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,319393n,17524Ki
2025-04-11T04:22:36Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,509708n,11864Ki
2025-04-11T04:22:36Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,179995n,24932Ki
2025-04-11T04:22:36Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,439853n,11776Ki
2025-04-11T04:22:36Z,service-mesh-benchmark,fortio-client-7b67bd6475-2jzcv,linkerd-proxy,43263150n,21116Ki
2025-04-11T04:22:36Z,service-mesh-benchmark,fortio-server-76b9d8bbd7-dj7s8,linkerd-proxy,38287184n,16808Ki
2025-04-11T04:22:37Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1262633n,24344Ki
2025-04-11T04:22:37Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,273349n,4940Ki
2025-04-11T04:22:37Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,714048n,14364Ki
2025-04-11T04:22:37Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,96495n,20276Ki
2025-04-11T04:22:37Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,319393n,17524Ki
2025-04-11T04:22:37Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,509708n,11864Ki
2025-04-11T04:22:37Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,179995n,24932Ki
2025-04-11T04:22:37Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,439853n,11776Ki
2025-04-11T04:22:37Z,service-mesh-benchmark,fortio-client-7b67bd6475-2jzcv,linkerd-proxy,43263150n,21116Ki
2025-04-11T04:22:37Z,service-mesh-benchmark,fortio-server-76b9d8bbd7-dj7s8,linkerd-proxy,38287184n,16808Ki
2025-04-11T04:22:39Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1262633n,24344Ki
2025-04-11T04:22:39Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,273349n,4940Ki
2025-04-11T04:22:39Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,714048n,14364Ki
2025-04-11T04:22:39Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,96495n,20276Ki
2025-04-11T04:22:39Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,319393n,17524Ki
2025-04-11T04:22:39Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,509708n,11864Ki
2025-04-11T04:22:39Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,179995n,24932Ki
2025-04-11T04:22:39Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,439853n,11776Ki
2025-04-11T04:22:39Z,service-mesh-benchmark,fortio-client-7b67bd6475-2jzcv,linkerd-proxy,43263150n,21116Ki
2025-04-11T04:22:39Z,service-mesh-benchmark,fortio-server-76b9d8bbd7-dj7s8,linkerd-proxy,38287184n,16808Ki
2025-04-11T04:22:40Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1262633n,24344Ki
2025-04-11T04:22:40Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,273349n,4940Ki
2025-04-11T04:22:40Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,714048n,14364Ki
2025-04-11T04:22:40Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,96495n,20276Ki
2025-04-11T04:22:40Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,319393n,17524Ki
2025-04-11T04:22:40Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,509708n,11864Ki
