timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-20T02:10:07Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:07Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:07Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:07Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:08Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:08Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:08Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:08Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:09Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:09Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:09Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:09Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:10Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:10Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:10Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:10Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:12Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:12Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:12Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:12Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:13Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:13Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:13Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:13Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:14Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:14Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:14Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:14Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:15Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:15Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:15Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:15Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:16Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:16Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:16Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:16Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:18Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:18Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:18Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:18Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:19Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:19Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:19Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:19Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:20Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:20Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:20Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:20Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:21Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:21Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:21Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:21Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:22Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:22Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:22Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:22Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:23Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:23Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:23Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:23Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:25Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:25Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:25Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:25Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:26Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
2025-04-20T02:10:26Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,41967n,1624Ki
2025-04-20T02:10:26Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,371055208n,6684Ki
2025-04-20T02:10:26Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,549936104n,47756Ki
2025-04-20T02:10:27Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1467616n,49716Ki
