timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-09T12:00:59Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:00:59Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:00:59Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:00Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:00Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:00Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:01Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:01Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:01Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:03Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:03Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:03Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:04Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:04Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:04Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:05Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:05Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:05Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:06Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:06Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:06Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:07Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:07Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:07Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:09Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:09Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:09Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:10Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:10Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:10Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:11Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:11Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:11Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:12Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:12Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:12Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:13Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:13Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:13Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:14Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:14Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:14Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:16Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:16Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:16Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:17Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:17Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:17Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:18Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:18Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:18Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:19Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:19Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:19Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:20Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:20Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:20Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:22Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:22Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:22Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:23Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:23Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:23Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:24Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:24Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:24Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:25Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:25Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:25Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:27Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:27Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:27Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:28Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:28Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:28Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:29Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:29Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:29Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:30Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:30Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:30Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:31Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:31Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:31Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:33Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:33Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:33Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:34Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:34Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:34Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:35Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:35Z,istio-system,ztunnel-42djx,istio-proxy,2450945n,53456Ki
2025-04-09T12:01:35Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:36Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:36Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
2025-04-09T12:01:36Z,istio-system,ztunnel-jmfmq,istio-proxy,47470n,1812Ki
2025-04-09T12:01:38Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1769424n,63848Ki
2025-04-09T12:01:38Z,istio-system,ztunnel-42djx,istio-proxy,2545313n,53540Ki
