timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-13T11:42:21Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,4051796n,68748Ki
2025-04-13T11:42:21Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,831168741n,147552Ki
2025-04-13T11:42:21Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,65292n,1852Ki
2025-04-13T11:42:21Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,44627602n,39932Ki
2025-04-13T11:42:23Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,4051796n,68748Ki
2025-04-13T11:42:23Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,831168741n,147552Ki
2025-04-13T11:42:23Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,65292n,1852Ki
2025-04-13T11:42:23Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,44627602n,39932Ki
2025-04-13T11:42:24Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,4051796n,68748Ki
2025-04-13T11:42:24Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,831168741n,147552Ki
2025-04-13T11:42:24Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,65292n,1852Ki
2025-04-13T11:42:24Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,44627602n,39932Ki
2025-04-13T11:42:25Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,4051796n,68748Ki
2025-04-13T11:42:25Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,831168741n,147552Ki
2025-04-13T11:42:25Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,65292n,1852Ki
2025-04-13T11:42:25Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,44627602n,39932Ki
2025-04-13T11:42:26Z,control-plane,istio-system,istiod-76fc5bc774-n76zc,discovery,4051796n,68748Ki
2025-04-13T11:42:26Z,data-plane,istio-system,ztunnel-42djx,istio-proxy,831168741n,147552Ki
2025-04-13T11:42:26Z,data-plane,istio-system,ztunnel-jmfmq,istio-proxy,65292n,1852Ki
2025-04-13T11:42:26Z,data-plane,service-mesh-benchmark,waypoint-855dfcf87c-5gvl7,istio-proxy,44627602n,39932Ki
