timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-11T04:55:08Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1304961n,24348Ki
2025-04-11T04:55:08Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,286843n,4940Ki
2025-04-11T04:55:08Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,677546n,14368Ki
2025-04-11T04:55:08Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,117583n,20276Ki
2025-04-11T04:55:08Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,256322n,17488Ki
2025-04-11T04:55:08Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,400265n,11864Ki
2025-04-11T04:55:08Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,218579n,24928Ki
2025-04-11T04:55:08Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,430314n,11776Ki
2025-04-11T04:55:08Z,service-mesh-benchmark,fortio-client-cc4d5bfd8-9b772,linkerd-proxy,106993223n,37592Ki
2025-04-11T04:55:08Z,service-mesh-benchmark,fortio-server-57d7fc86d-gk69s,linkerd-proxy,92339960n,33164Ki
2025-04-11T04:55:09Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1304961n,24348Ki
2025-04-11T04:55:09Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,286843n,4940Ki
2025-04-11T04:55:09Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,677546n,14368Ki
2025-04-11T04:55:09Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,117583n,20276Ki
2025-04-11T04:55:09Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,256322n,17488Ki
2025-04-11T04:55:09Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,400265n,11864Ki
2025-04-11T04:55:09Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,218579n,24928Ki
2025-04-11T04:55:09Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,430314n,11776Ki
2025-04-11T04:55:09Z,service-mesh-benchmark,fortio-client-cc4d5bfd8-9b772,linkerd-proxy,106993223n,37592Ki
2025-04-11T04:55:09Z,service-mesh-benchmark,fortio-server-57d7fc86d-gk69s,linkerd-proxy,92339960n,33164Ki
2025-04-11T04:55:11Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1304961n,24348Ki
2025-04-11T04:55:11Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,286843n,4940Ki
2025-04-11T04:55:11Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,691431n,14368Ki
2025-04-11T04:55:11Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,123763n,20276Ki
2025-04-11T04:55:11Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,256322n,17488Ki
2025-04-11T04:55:11Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,400265n,11864Ki
2025-04-11T04:55:11Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,225297n,24928Ki
2025-04-11T04:55:11Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,430314n,11776Ki
2025-04-11T04:55:11Z,service-mesh-benchmark,fortio-client-cc4d5bfd8-9b772,linkerd-proxy,106993223n,37592Ki
2025-04-11T04:55:11Z,service-mesh-benchmark,fortio-server-57d7fc86d-gk69s,linkerd-proxy,92316584n,33164Ki
