timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-20T02:33:49Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1996221n,53924Ki
2025-04-20T02:33:49Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,38412n,1692Ki
2025-04-20T02:33:49Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,585322548n,25384Ki
2025-04-20T02:33:49Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,417244135n,1018164Ki
2025-04-20T02:33:50Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1996221n,53924Ki
2025-04-20T02:33:50Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,38412n,1692Ki
2025-04-20T02:33:50Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,250111536n,24860Ki
2025-04-20T02:33:50Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,417244135n,1018164Ki
2025-04-20T02:33:52Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1996221n,53924Ki
2025-04-20T02:33:52Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,38412n,1692Ki
2025-04-20T02:33:52Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,250111536n,24860Ki
2025-04-20T02:33:52Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,417244135n,1018164Ki
2025-04-20T02:33:53Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1996221n,53924Ki
2025-04-20T02:33:53Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,38412n,1692Ki
2025-04-20T02:33:53Z,data-plane,istio-system,ztunnel-jhrzb,istio-proxy,585322548n,25384Ki
2025-04-20T02:33:53Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-q8bg6,istio-proxy,417244135n,1018164Ki
2025-04-20T02:33:54Z,control-plane,istio-system,istiod-76fc5bc774-4mfq6,discovery,1996221n,53924Ki
2025-04-20T02:33:54Z,data-plane,istio-system,ztunnel-bwbxs,istio-proxy,38412n,1692Ki
