timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-20T14:16:01Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,destination,1009043n,19196Ki
2025-04-20T14:16:01Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,policy,328345n,4040Ki
2025-04-20T14:16:01Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,linkerd-proxy,509204n,14252Ki
2025-04-20T14:16:01Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,sp-validator,113257n,17180Ki
2025-04-20T14:16:01Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,identity,123815n,15616Ki
2025-04-20T14:16:01Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,linkerd-proxy,273397n,11740Ki
2025-04-20T14:16:01Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,proxy-injector,117648n,22020Ki
2025-04-20T14:16:01Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,linkerd-proxy,294628n,11756Ki
2025-04-20T14:16:01Z,data-plane,service-mesh-benchmark,fortio-client-84bfff6585-bp5ph,linkerd-proxy,33898857n,16692Ki
2025-04-20T14:16:01Z,data-plane,service-mesh-benchmark,fortio-server-6db6d9b4df-fbl9v,linkerd-proxy,25564579n,33312Ki
2025-04-20T14:16:03Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,destination,1009043n,19196Ki
2025-04-20T14:16:03Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,policy,328345n,4040Ki
2025-04-20T14:16:03Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,linkerd-proxy,509204n,14252Ki
2025-04-20T14:16:03Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,sp-validator,113257n,17180Ki
2025-04-20T14:16:03Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,identity,123815n,15616Ki
2025-04-20T14:16:03Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,linkerd-proxy,273397n,11740Ki
2025-04-20T14:16:03Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,proxy-injector,117648n,22020Ki
2025-04-20T14:16:03Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,linkerd-proxy,294628n,11756Ki
2025-04-20T14:16:03Z,data-plane,service-mesh-benchmark,fortio-client-84bfff6585-bp5ph,linkerd-proxy,33898857n,16692Ki
2025-04-20T14:16:03Z,data-plane,service-mesh-benchmark,fortio-server-6db6d9b4df-fbl9v,linkerd-proxy,25564579n,33312Ki
2025-04-20T14:16:04Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,destination,1009043n,19196Ki
2025-04-20T14:16:04Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,policy,328345n,4040Ki
2025-04-20T14:16:04Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,linkerd-proxy,509204n,14252Ki
2025-04-20T14:16:04Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,sp-validator,113257n,17180Ki
2025-04-20T14:16:04Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,identity,123815n,15616Ki
2025-04-20T14:16:04Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,linkerd-proxy,273397n,11740Ki
2025-04-20T14:16:04Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,proxy-injector,117648n,22020Ki
2025-04-20T14:16:04Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,linkerd-proxy,294628n,11756Ki
2025-04-20T14:16:04Z,data-plane,service-mesh-benchmark,fortio-client-84bfff6585-bp5ph,linkerd-proxy,33898857n,16692Ki
2025-04-20T14:16:04Z,data-plane,service-mesh-benchmark,fortio-server-6db6d9b4df-fbl9v,linkerd-proxy,25564579n,33312Ki
2025-04-20T14:16:05Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,destination,1009043n,19196Ki
2025-04-20T14:16:05Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,policy,328345n,4040Ki
2025-04-20T14:16:05Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,linkerd-proxy,509204n,14252Ki
