timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-05-18T11:42:37Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1505952n,51392Ki
2025-05-18T11:42:37Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,38789n,3660Ki
2025-05-18T11:42:37Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,518821440n,8516Ki
2025-05-18T11:42:37Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,823057860n,41172Ki
2025-05-18T11:42:38Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1505952n,51392Ki
2025-05-18T11:42:38Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,38789n,3660Ki
2025-05-18T11:42:38Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,518821440n,8516Ki
2025-05-18T11:42:38Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,823057860n,41172Ki
2025-05-18T11:42:39Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1505952n,51392Ki
2025-05-18T11:42:39Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,38789n,3660Ki
2025-05-18T11:42:39Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,518821440n,8516Ki
2025-05-18T11:42:39Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,823057860n,41172Ki
2025-05-18T11:42:40Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1505952n,51392Ki
2025-05-18T11:42:40Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,38789n,3660Ki
2025-05-18T11:42:40Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,518821440n,8516Ki
2025-05-18T11:42:40Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,823057860n,41172Ki
2025-05-18T11:42:42Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1505952n,51392Ki
2025-05-18T11:42:42Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,38789n,3660Ki
2025-05-18T11:42:42Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,518821440n,8516Ki
2025-05-18T11:42:42Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,823057860n,41172Ki
2025-05-18T11:42:43Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1505952n,51392Ki
2025-05-18T11:42:43Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,38789n,3660Ki
2025-05-18T11:42:43Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,518821440n,8516Ki
2025-05-18T11:42:43Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,823057860n,41172Ki
2025-05-18T11:42:44Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1505952n,51392Ki
2025-05-18T11:42:44Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,38789n,3660Ki
2025-05-18T11:42:44Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,518821440n,8516Ki
2025-05-18T11:42:44Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,823057860n,41172Ki
2025-05-18T11:42:45Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1505952n,51392Ki
