timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T11:03:32Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1948054n,47560Ki
2025-04-21T11:03:32Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,1507643n,6492Ki
2025-04-21T11:03:32Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35013n,1636Ki
2025-04-21T11:03:32Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,2073683n,47592Ki
2025-04-21T11:03:33Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1948054n,47560Ki
2025-04-21T11:03:33Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,1507643n,6492Ki
2025-04-21T11:03:33Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35013n,1636Ki
2025-04-21T11:03:33Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,2073683n,47592Ki
2025-04-21T11:03:34Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1923134n,47688Ki
2025-04-21T11:03:34Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,1507643n,6492Ki
2025-04-21T11:03:34Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35013n,1636Ki
2025-04-21T11:03:34Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,2073683n,47592Ki
2025-04-21T11:03:36Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1923134n,47688Ki
2025-04-21T11:03:36Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,1507643n,6492Ki
2025-04-21T11:03:36Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35013n,1636Ki
2025-04-21T11:03:36Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,2073683n,47592Ki
2025-04-21T11:03:37Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1923134n,47688Ki
2025-04-21T11:03:37Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,1507643n,6492Ki
2025-04-21T11:03:37Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35013n,1636Ki
2025-04-21T11:03:37Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,2073683n,47592Ki
2025-04-21T11:03:38Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1923134n,47688Ki
2025-04-21T11:03:38Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,1507643n,6492Ki
2025-04-21T11:03:38Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35013n,1636Ki
