timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T12:53:46Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,815331n,18876Ki
2025-04-21T12:53:46Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,176431n,5868Ki
2025-04-21T12:53:46Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,454369n,14268Ki
2025-04-21T12:53:46Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,141808n,14996Ki
2025-04-21T12:53:46Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,119052n,17784Ki
2025-04-21T12:53:46Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,243302n,12064Ki
2025-04-21T12:53:46Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,174691n,21832Ki
2025-04-21T12:53:46Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,242426n,12088Ki
2025-04-21T12:53:46Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,610816n,16332Ki
2025-04-21T12:53:46Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,394710n,16452Ki
2025-04-21T12:53:47Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,815331n,18876Ki
2025-04-21T12:53:47Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,176431n,5868Ki
2025-04-21T12:53:47Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,454369n,14268Ki
2025-04-21T12:53:47Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,141808n,14996Ki
2025-04-21T12:53:47Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,119052n,17784Ki
2025-04-21T12:53:47Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,243302n,12064Ki
2025-04-21T12:53:47Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,174691n,21832Ki
2025-04-21T12:53:47Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,242426n,12088Ki
2025-04-21T12:53:47Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,610816n,16332Ki
2025-04-21T12:53:47Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,394710n,16452Ki
2025-04-21T12:53:48Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762794n,18896Ki
2025-04-21T12:53:48Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,158021n,5868Ki
2025-04-21T12:53:48Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,419034n,14264Ki
2025-04-21T12:53:48Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,68227n,14992Ki
2025-04-21T12:53:48Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,79802n,17780Ki
2025-04-21T12:53:48Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,252439n,12064Ki
2025-04-21T12:53:48Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,100291n,21832Ki
2025-04-21T12:53:48Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,247957n,12080Ki
2025-04-21T12:53:48Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,58772683n,16796Ki
2025-04-21T12:53:48Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,51538017n,16428Ki
2025-04-21T12:53:50Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762794n,18896Ki
2025-04-21T12:53:50Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,158021n,5868Ki
2025-04-21T12:53:50Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,419034n,14264Ki
2025-04-21T12:53:50Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,68227n,14992Ki
2025-04-21T12:53:50Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,79802n,17780Ki
2025-04-21T12:53:50Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,252439n,12064Ki
2025-04-21T12:53:50Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,100291n,21832Ki
2025-04-21T12:53:50Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,247957n,12080Ki
2025-04-21T12:53:50Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,58772683n,16796Ki
2025-04-21T12:53:50Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,51538017n,16428Ki
2025-04-21T12:53:51Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,774844n,18888Ki
2025-04-21T12:53:51Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,158021n,5868Ki
2025-04-21T12:53:51Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,419034n,14264Ki
2025-04-21T12:53:51Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,68227n,14992Ki
2025-04-21T12:53:51Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,79802n,17780Ki
2025-04-21T12:53:51Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,252439n,12064Ki
2025-04-21T12:53:51Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,108794n,21832Ki
2025-04-21T12:53:51Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,247957n,12080Ki
2025-04-21T12:53:51Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,58772683n,16796Ki
2025-04-21T12:53:51Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,51538017n,16428Ki
2025-04-21T12:53:52Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762794n,18896Ki
2025-04-21T12:53:52Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,158021n,5868Ki
2025-04-21T12:53:52Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,419034n,14264Ki
2025-04-21T12:53:52Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,68227n,14992Ki
2025-04-21T12:53:52Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,79802n,17780Ki
2025-04-21T12:53:52Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,252439n,12064Ki
2025-04-21T12:53:52Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,100291n,21832Ki
2025-04-21T12:53:52Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,247957n,12080Ki
2025-04-21T12:53:52Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,58772683n,16796Ki
2025-04-21T12:53:52Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,51538017n,16428Ki
2025-04-21T12:53:54Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,774844n,18888Ki
2025-04-21T12:53:54Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,158021n,5868Ki
2025-04-21T12:53:54Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,419034n,14264Ki
2025-04-21T12:53:54Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,68227n,14992Ki
2025-04-21T12:53:54Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,79802n,17780Ki
2025-04-21T12:53:54Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,252439n,12064Ki
2025-04-21T12:53:54Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,108794n,21832Ki
2025-04-21T12:53:54Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,247957n,12080Ki
2025-04-21T12:53:54Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,58772683n,16796Ki
