timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T11:30:53Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1711276n,49684Ki
2025-04-21T11:30:53Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,47381379n,6948Ki
2025-04-21T11:30:53Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32152n,1708Ki
2025-04-21T11:30:53Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,58387790n,49692Ki
2025-04-21T11:30:55Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1711276n,49684Ki
2025-04-21T11:30:55Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,47381379n,6948Ki
2025-04-21T11:30:55Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32072n,1704Ki
2025-04-21T11:30:55Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,121696575n,49696Ki
2025-04-21T11:30:56Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1711276n,49684Ki
2025-04-21T11:30:56Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,47381379n,6948Ki
2025-04-21T11:30:56Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32152n,1708Ki
2025-04-21T11:30:56Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,58387790n,49692Ki
2025-04-21T11:30:57Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1711276n,49684Ki
2025-04-21T11:30:57Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,47381379n,6948Ki
2025-04-21T11:30:57Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32152n,1708Ki
2025-04-21T11:30:57Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,58387790n,49692Ki
2025-04-21T11:30:58Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1711276n,49684Ki
2025-04-21T11:30:58Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,47381379n,6948Ki
2025-04-21T11:30:58Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32072n,1704Ki
2025-04-21T11:30:58Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,121696575n,49696Ki
2025-04-21T11:31:00Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1711276n,49684Ki
2025-04-21T11:31:00Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,47381379n,6948Ki
2025-04-21T11:31:00Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32072n,1704Ki
2025-04-21T11:31:00Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,121696575n,49696Ki
2025-04-21T11:31:01Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1711276n,49684Ki
2025-04-21T11:31:01Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,47381379n,6948Ki
2025-04-21T11:31:01Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32152n,1708Ki
2025-04-21T11:31:01Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,58387790n,49692Ki
2025-04-21T11:31:02Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1711276n,49684Ki
2025-04-21T11:31:02Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,47381379n,6948Ki
2025-04-21T11:31:02Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32072n,1704Ki
2025-04-21T11:31:02Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,121696575n,49696Ki
2025-04-21T11:31:03Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1711276n,49684Ki
2025-04-21T11:31:03Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,47381379n,6948Ki
2025-04-21T11:31:03Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32072n,1704Ki
2025-04-21T11:31:03Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,121696575n,49696Ki
2025-04-21T11:31:05Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1711276n,49684Ki
