timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-05-18T12:26:42Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:42Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:42Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:42Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:43Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:43Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:43Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:43Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:44Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:44Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:44Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:44Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:46Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:46Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:46Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:46Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:47Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:47Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:47Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:47Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:48Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:48Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:48Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:48Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:49Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:49Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:49Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:49Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:51Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:51Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:51Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:51Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:52Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:52Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:52Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:52Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:53Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:53Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:53Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:53Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:54Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:54Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:54Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:54Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:56Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:56Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:56Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:56Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:57Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:57Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:57Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:57Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:58Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:58Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:58Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:58Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:26:59Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:26:59Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:26:59Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:26:59Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:27:01Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:27:01Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:27:01Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:27:01Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:27:02Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1492560n,51980Ki
2025-05-18T12:27:02Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,41324n,3748Ki
2025-05-18T12:27:02Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,443677970n,8276Ki
2025-05-18T12:27:02Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,924131801n,47144Ki
2025-05-18T12:27:03Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1273131n,51976Ki
2025-05-18T12:27:03Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,34439n,3748Ki
2025-05-18T12:27:03Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,95638977n,8940Ki
2025-05-18T12:27:03Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,169881406n,47200Ki
