timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T13:48:07Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:07Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,293618n,5916Ki
2025-04-21T13:48:07Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:07Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,63692n,15020Ki
2025-04-21T13:48:07Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,69710n,17784Ki
2025-04-21T13:48:07Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,250057n,11764Ki
2025-04-21T13:48:07Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,163019n,21832Ki
2025-04-21T13:48:07Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:07Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,182529082n,27756Ki
2025-04-21T13:48:07Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,156666115n,22688Ki
2025-04-21T13:48:09Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:09Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,291291n,5916Ki
2025-04-21T13:48:09Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:09Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,56199n,15020Ki
2025-04-21T13:48:09Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,71751n,17788Ki
2025-04-21T13:48:09Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,260649n,11764Ki
2025-04-21T13:48:09Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,76185n,21832Ki
2025-04-21T13:48:09Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:09Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,148878994n,17800Ki
2025-04-21T13:48:09Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,132294433n,17904Ki
2025-04-21T13:48:10Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:10Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,293618n,5916Ki
2025-04-21T13:48:10Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:10Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,63692n,15020Ki
2025-04-21T13:48:10Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,69710n,17784Ki
2025-04-21T13:48:10Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,250057n,11764Ki
2025-04-21T13:48:10Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,163019n,21832Ki
2025-04-21T13:48:10Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:10Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,182529082n,27756Ki
2025-04-21T13:48:10Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,156666115n,22688Ki
2025-04-21T13:48:12Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:12Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,293618n,5916Ki
2025-04-21T13:48:12Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:12Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,63692n,15020Ki
2025-04-21T13:48:12Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,69710n,17784Ki
2025-04-21T13:48:12Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,250057n,11764Ki
2025-04-21T13:48:12Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,163019n,21832Ki
2025-04-21T13:48:12Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:12Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,182529082n,27756Ki
2025-04-21T13:48:12Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,156666115n,22688Ki
2025-04-21T13:48:13Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:13Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,293618n,5916Ki
2025-04-21T13:48:13Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:13Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,63692n,15020Ki
2025-04-21T13:48:13Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,69710n,17784Ki
2025-04-21T13:48:13Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,250057n,11764Ki
2025-04-21T13:48:13Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,163019n,21832Ki
2025-04-21T13:48:13Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:13Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,182529082n,27756Ki
2025-04-21T13:48:13Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,156666115n,22688Ki
2025-04-21T13:48:14Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:14Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,291291n,5916Ki
2025-04-21T13:48:14Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:14Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,56199n,15020Ki
2025-04-21T13:48:14Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,71751n,17788Ki
2025-04-21T13:48:14Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,260649n,11764Ki
2025-04-21T13:48:14Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,76185n,21832Ki
2025-04-21T13:48:14Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:14Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,148878994n,17800Ki
2025-04-21T13:48:14Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,132294433n,17904Ki
2025-04-21T13:48:16Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:16Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,293618n,5916Ki
2025-04-21T13:48:16Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:16Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,63692n,15020Ki
2025-04-21T13:48:16Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,69710n,17784Ki
2025-04-21T13:48:16Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,250057n,11764Ki
2025-04-21T13:48:16Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,163019n,21832Ki
2025-04-21T13:48:16Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:16Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,182529082n,27756Ki
2025-04-21T13:48:16Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,156666115n,22688Ki
2025-04-21T13:48:17Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:17Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,291291n,5916Ki
2025-04-21T13:48:17Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:17Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,56199n,15020Ki
2025-04-21T13:48:17Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,71751n,17788Ki
2025-04-21T13:48:17Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,260649n,11764Ki
2025-04-21T13:48:17Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,76185n,21832Ki
2025-04-21T13:48:17Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:17Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,148878994n,17800Ki
2025-04-21T13:48:17Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,132294433n,17904Ki
2025-04-21T13:48:18Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:18Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,293618n,5916Ki
2025-04-21T13:48:18Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:18Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,63692n,15020Ki
2025-04-21T13:48:18Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,69710n,17784Ki
2025-04-21T13:48:18Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,250057n,11764Ki
2025-04-21T13:48:18Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,163019n,21832Ki
2025-04-21T13:48:18Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:18Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,182529082n,27756Ki
2025-04-21T13:48:18Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,156666115n,22688Ki
2025-04-21T13:48:20Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:20Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,291291n,5916Ki
2025-04-21T13:48:20Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:20Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,56199n,15020Ki
2025-04-21T13:48:20Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,71751n,17788Ki
2025-04-21T13:48:20Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,260649n,11764Ki
2025-04-21T13:48:20Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,76185n,21832Ki
2025-04-21T13:48:20Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:20Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,148878994n,17800Ki
2025-04-21T13:48:20Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,132294433n,17904Ki
2025-04-21T13:48:21Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:21Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,293618n,5916Ki
2025-04-21T13:48:21Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:21Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,63692n,15020Ki
2025-04-21T13:48:21Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,69710n,17784Ki
2025-04-21T13:48:21Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,250057n,11764Ki
2025-04-21T13:48:21Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,163019n,21832Ki
2025-04-21T13:48:21Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:21Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,182529082n,27756Ki
2025-04-21T13:48:21Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,156666115n,22688Ki
2025-04-21T13:48:22Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:22Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,293618n,5916Ki
2025-04-21T13:48:22Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:22Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,63692n,15020Ki
2025-04-21T13:48:22Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,69710n,17784Ki
2025-04-21T13:48:22Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,250057n,11764Ki
2025-04-21T13:48:22Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,163019n,21832Ki
2025-04-21T13:48:22Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:22Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,182529082n,27756Ki
2025-04-21T13:48:22Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,156666115n,22688Ki
2025-04-21T13:48:24Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:24Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,291291n,5916Ki
2025-04-21T13:48:24Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:24Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,56199n,15020Ki
2025-04-21T13:48:24Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,71751n,17788Ki
2025-04-21T13:48:24Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,260649n,11764Ki
2025-04-21T13:48:24Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,76185n,21832Ki
2025-04-21T13:48:24Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:24Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,148878994n,17800Ki
2025-04-21T13:48:24Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,132294433n,17904Ki
2025-04-21T13:48:25Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:25Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,293618n,5916Ki
2025-04-21T13:48:25Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:25Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,63692n,15020Ki
2025-04-21T13:48:25Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,69710n,17784Ki
2025-04-21T13:48:25Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,250057n,11764Ki
2025-04-21T13:48:25Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,163019n,21832Ki
2025-04-21T13:48:25Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:25Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,182529082n,27756Ki
2025-04-21T13:48:25Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,156666115n,22688Ki
2025-04-21T13:48:26Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:26Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,291291n,5916Ki
2025-04-21T13:48:26Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,487379n,14312Ki
2025-04-21T13:48:26Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,56199n,15020Ki
2025-04-21T13:48:26Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,71751n,17788Ki
2025-04-21T13:48:26Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,260649n,11764Ki
2025-04-21T13:48:26Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,76185n,21832Ki
2025-04-21T13:48:26Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240339n,11756Ki
2025-04-21T13:48:26Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,148878994n,17800Ki
2025-04-21T13:48:26Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,132294433n,17904Ki
2025-04-21T13:48:28Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,762921n,19048Ki
2025-04-21T13:48:28Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,291291n,5916Ki
