timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-05-18T12:41:14Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1403829n,52516Ki
2025-05-18T12:41:14Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,79640n,3756Ki
2025-05-18T12:41:14Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,99041876n,12860Ki
2025-05-18T12:41:14Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,146989646n,53296Ki
2025-05-18T12:41:15Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1403829n,52516Ki
2025-05-18T12:41:15Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,79640n,3756Ki
2025-05-18T12:41:15Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,99041876n,12860Ki
2025-05-18T12:41:15Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,146989646n,53296Ki
2025-05-18T12:41:17Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1403829n,52516Ki
2025-05-18T12:41:17Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,79640n,3756Ki
2025-05-18T12:41:17Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,99041876n,12860Ki
2025-05-18T12:41:17Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,146989646n,53296Ki
2025-05-18T12:41:18Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1403829n,52516Ki
2025-05-18T12:41:18Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,79640n,3756Ki
2025-05-18T12:41:18Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,99041876n,12860Ki
2025-05-18T12:41:18Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,146989646n,53296Ki
2025-05-18T12:41:19Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1403829n,52516Ki
2025-05-18T12:41:19Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,79640n,3756Ki
2025-05-18T12:41:19Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,99041876n,12860Ki
2025-05-18T12:41:19Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,146989646n,53296Ki
2025-05-18T12:41:21Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1403829n,52516Ki
2025-05-18T12:41:21Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,79640n,3756Ki
2025-05-18T12:41:21Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,99041876n,12860Ki
2025-05-18T12:41:21Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,146989646n,53296Ki
2025-05-18T12:41:22Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1403829n,52516Ki
2025-05-18T12:41:22Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,79640n,3756Ki
