timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-05-18T11:40:16Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1356846n,51312Ki
2025-05-18T11:40:16Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,40238n,3660Ki
2025-05-18T11:40:16Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,347026096n,8608Ki
2025-05-18T11:40:16Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,649301155n,44048Ki
2025-05-18T11:40:17Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1356846n,51312Ki
2025-05-18T11:40:17Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,40238n,3660Ki
2025-05-18T11:40:17Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,347026096n,8608Ki
2025-05-18T11:40:17Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,649301155n,44048Ki
2025-05-18T11:40:19Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1356846n,51312Ki
2025-05-18T11:40:19Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,40238n,3660Ki
2025-05-18T11:40:19Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,347026096n,8608Ki
2025-05-18T11:40:19Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,649301155n,44048Ki
2025-05-18T11:40:20Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1356846n,51312Ki
2025-05-18T11:40:20Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,40238n,3660Ki
2025-05-18T11:40:20Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,347026096n,8608Ki
2025-05-18T11:40:20Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,649301155n,44048Ki
2025-05-18T11:40:21Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1356846n,51312Ki
2025-05-18T11:40:21Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,40238n,3660Ki
2025-05-18T11:40:21Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,347026096n,8608Ki
2025-05-18T11:40:21Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,649301155n,44048Ki
2025-05-18T11:40:22Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1356846n,51312Ki
2025-05-18T11:40:22Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,40238n,3660Ki
2025-05-18T11:40:22Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,347026096n,8608Ki
2025-05-18T11:40:22Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,649301155n,44048Ki
2025-05-18T11:40:23Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1356846n,51312Ki
