timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T10:49:51Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:49:51Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:49:51Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:49:51Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:49:53Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:49:53Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:49:53Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:49:53Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:49:54Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:49:54Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:49:54Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:49:54Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:49:55Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:49:55Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:49:55Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:49:55Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:49:56Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:49:56Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:49:56Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:49:56Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:49:58Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:49:58Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:49:58Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:49:58Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:49:59Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:49:59Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:49:59Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:49:59Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:00Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:00Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:00Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:00Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:01Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:01Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:01Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:01Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:02Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:02Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:02Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:02Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:04Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:04Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:04Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:04Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:05Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:05Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:05Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:05Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:06Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:06Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:06Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:06Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:07Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:07Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:07Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:07Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:08Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:08Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:08Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:08Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:10Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:10Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:10Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:10Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:11Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:11Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:11Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:11Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:12Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:12Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:12Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:12Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:13Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:13Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:13Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:13Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:14Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:14Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:14Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:14Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:16Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:16Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:16Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:16Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:17Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:17Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:17Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:17Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:18Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:18Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:18Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:18Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:19Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:19Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:19Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:19Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:20Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:20Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:20Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:20Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:22Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:22Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:22Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:22Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:23Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:23Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:23Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:23Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:24Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:24Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:24Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:24Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:25Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:25Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:25Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:25Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:26Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:26Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:26Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:26Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:28Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:28Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:28Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:28Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:29Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:29Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:29Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:29Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:30Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:30Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:30Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:30Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:31Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:31Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:31Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:31Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:32Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:32Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:32Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:32Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:34Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:34Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:34Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:34Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,626575121n,45144Ki
2025-04-21T10:50:35Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:35Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:35Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
2025-04-21T10:50:35Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,691862361n,44956Ki
2025-04-21T10:50:36Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1609845n,45632Ki
2025-04-21T10:50:36Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,408973842n,6068Ki
2025-04-21T10:50:36Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32248n,1636Ki
