timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T12:40:05Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,764322n,18800Ki
2025-04-21T12:40:05Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,157742n,5888Ki
2025-04-21T12:40:05Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,416980n,14272Ki
2025-04-21T12:40:05Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,78796n,14980Ki
2025-04-21T12:40:05Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,142996n,17776Ki
2025-04-21T12:40:05Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,241008n,12068Ki
2025-04-21T12:40:05Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,98931n,21828Ki
2025-04-21T12:40:05Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,230109n,12076Ki
2025-04-21T12:40:05Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,455567505n,15512Ki
2025-04-21T12:40:05Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,442672539n,17968Ki
2025-04-21T12:40:06Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,764322n,18800Ki
2025-04-21T12:40:06Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,157742n,5888Ki
2025-04-21T12:40:06Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,416980n,14272Ki
2025-04-21T12:40:06Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,78796n,14980Ki
2025-04-21T12:40:06Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,142996n,17776Ki
2025-04-21T12:40:06Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,241008n,12068Ki
2025-04-21T12:40:06Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,98931n,21828Ki
2025-04-21T12:40:06Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,230109n,12076Ki
2025-04-21T12:40:06Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,455567505n,15512Ki
2025-04-21T12:40:06Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,442672539n,17968Ki
2025-04-21T12:40:08Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,764322n,18800Ki
2025-04-21T12:40:08Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,157742n,5888Ki
2025-04-21T12:40:08Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,416980n,14272Ki
2025-04-21T12:40:08Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,78796n,14980Ki
2025-04-21T12:40:08Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,142996n,17776Ki
2025-04-21T12:40:08Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,241008n,12068Ki
2025-04-21T12:40:08Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,98931n,21828Ki
2025-04-21T12:40:08Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,230109n,12076Ki
2025-04-21T12:40:08Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,455567505n,15512Ki
2025-04-21T12:40:08Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,442672539n,17968Ki
2025-04-21T12:40:09Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,764322n,18800Ki
2025-04-21T12:40:09Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,157742n,5888Ki
2025-04-21T12:40:09Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,416980n,14272Ki
2025-04-21T12:40:09Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,78796n,14980Ki
2025-04-21T12:40:09Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,142996n,17776Ki
2025-04-21T12:40:09Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,241008n,12068Ki
2025-04-21T12:40:09Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,98931n,21828Ki
2025-04-21T12:40:09Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,230109n,12076Ki
2025-04-21T12:40:09Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,455567505n,15512Ki
