timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T10:56:32Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:32Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:32Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35603n,1636Ki
2025-04-21T10:56:32Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,951435213n,47584Ki
2025-04-21T10:56:33Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:33Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:33Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35603n,1636Ki
2025-04-21T10:56:33Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,951435213n,47584Ki
2025-04-21T10:56:35Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:35Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:35Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35603n,1636Ki
2025-04-21T10:56:35Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,951435213n,47584Ki
2025-04-21T10:56:36Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:36Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:36Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35603n,1636Ki
2025-04-21T10:56:36Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,951435213n,47584Ki
2025-04-21T10:56:37Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:37Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:37Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32969n,1636Ki
2025-04-21T10:56:37Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,903273236n,47596Ki
2025-04-21T10:56:38Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:38Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:38Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35603n,1636Ki
2025-04-21T10:56:38Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,951435213n,47584Ki
2025-04-21T10:56:39Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:39Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:39Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32969n,1636Ki
2025-04-21T10:56:39Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,903273236n,47596Ki
2025-04-21T10:56:41Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:41Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:41Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35603n,1636Ki
2025-04-21T10:56:41Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,951435213n,47584Ki
2025-04-21T10:56:42Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:42Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:42Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35603n,1636Ki
2025-04-21T10:56:42Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,951435213n,47584Ki
2025-04-21T10:56:43Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:43Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:43Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32969n,1636Ki
2025-04-21T10:56:43Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,903273236n,47596Ki
2025-04-21T10:56:44Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:44Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:44Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35603n,1636Ki
2025-04-21T10:56:44Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,951435213n,47584Ki
2025-04-21T10:56:45Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1445073n,47524Ki
2025-04-21T10:56:45Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:45Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,28578n,1636Ki
2025-04-21T10:56:45Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,630351959n,47744Ki
2025-04-21T10:56:47Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1584586n,47524Ki
2025-04-21T10:56:47Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,391537391n,7056Ki
2025-04-21T10:56:47Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32969n,1636Ki
2025-04-21T10:56:47Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,903273236n,47596Ki
2025-04-21T10:56:48Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1461259n,47528Ki
2025-04-21T10:56:48Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:48Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,29872n,1636Ki
2025-04-21T10:56:48Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,690649764n,47616Ki
2025-04-21T10:56:49Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1445073n,47524Ki
2025-04-21T10:56:49Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:49Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,28578n,1636Ki
2025-04-21T10:56:49Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,630351959n,47744Ki
2025-04-21T10:56:50Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1445073n,47524Ki
2025-04-21T10:56:50Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:50Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,28578n,1636Ki
2025-04-21T10:56:50Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,630351959n,47744Ki
2025-04-21T10:56:52Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1445073n,47524Ki
2025-04-21T10:56:52Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:52Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,28578n,1636Ki
2025-04-21T10:56:52Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,630351959n,47744Ki
2025-04-21T10:56:53Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1445073n,47524Ki
2025-04-21T10:56:53Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:53Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,28578n,1636Ki
2025-04-21T10:56:53Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,630351959n,47744Ki
2025-04-21T10:56:54Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1461259n,47528Ki
2025-04-21T10:56:54Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:54Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,29872n,1636Ki
2025-04-21T10:56:54Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,690649764n,47616Ki
2025-04-21T10:56:55Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1461259n,47528Ki
2025-04-21T10:56:55Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:55Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,29872n,1636Ki
2025-04-21T10:56:55Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,690649764n,47616Ki
2025-04-21T10:56:56Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1445073n,47524Ki
2025-04-21T10:56:56Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:56Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,28578n,1636Ki
2025-04-21T10:56:56Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,630351959n,47744Ki
2025-04-21T10:56:58Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1445073n,47524Ki
2025-04-21T10:56:58Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:58Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,28578n,1636Ki
2025-04-21T10:56:58Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,630351959n,47744Ki
2025-04-21T10:56:59Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1445073n,47524Ki
2025-04-21T10:56:59Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:56:59Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,28578n,1636Ki
2025-04-21T10:56:59Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,630351959n,47744Ki
2025-04-21T10:57:00Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1445073n,47524Ki
2025-04-21T10:57:00Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:57:00Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,28578n,1636Ki
2025-04-21T10:57:00Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,630351959n,47744Ki
2025-04-21T10:57:01Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1461259n,47528Ki
2025-04-21T10:57:01Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:57:01Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,29872n,1636Ki
2025-04-21T10:57:01Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,690649764n,47616Ki
2025-04-21T10:57:02Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1445073n,47524Ki
2025-04-21T10:57:02Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,249869872n,7008Ki
2025-04-21T10:57:02Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,28578n,1636Ki
2025-04-21T10:57:02Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,630351959n,47744Ki
2025-04-21T10:57:04Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1461259n,47528Ki
