timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T11:13:33Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:33Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:33Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:33Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:34Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:34Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:34Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:34Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:36Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:36Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:36Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:36Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:37Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:37Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:37Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:37Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:38Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:38Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:38Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:38Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:39Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:39Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:39Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:39Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:41Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:41Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:41Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:41Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:42Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:42Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:42Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:42Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:43Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:43Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:43Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:43Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:44Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:44Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:44Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:44Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:46Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1412841n,47588Ki
2025-04-21T11:13:46Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:46Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:46Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:13:47Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1778694n,47588Ki
2025-04-21T11:13:47Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,554903656n,7820Ki
2025-04-21T11:13:47Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38474n,1636Ki
2025-04-21T11:13:47Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,956195220n,47620Ki
2025-04-21T11:13:48Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1412841n,47588Ki
2025-04-21T11:13:48Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:48Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:48Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:13:49Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1412841n,47588Ki
2025-04-21T11:13:49Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:49Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:49Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:13:50Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1647332n,47596Ki
2025-04-21T11:13:50Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:50Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:50Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:13:52Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1647332n,47596Ki
2025-04-21T11:13:52Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:52Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:52Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:13:53Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1647332n,47596Ki
2025-04-21T11:13:53Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:53Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:53Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:13:54Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1412841n,47588Ki
2025-04-21T11:13:54Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:54Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:54Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:13:55Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1412841n,47588Ki
2025-04-21T11:13:55Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:55Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:55Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:13:56Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1647332n,47596Ki
2025-04-21T11:13:56Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:56Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:56Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:13:58Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1647332n,47596Ki
2025-04-21T11:13:58Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:58Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:58Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:13:59Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1647332n,47596Ki
2025-04-21T11:13:59Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,16333972n,6896Ki
2025-04-21T11:13:59Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,32286n,1636Ki
2025-04-21T11:13:59Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,96208642n,47600Ki
2025-04-21T11:14:00Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1412841n,47588Ki
