timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T13:14:07Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,824349n,18984Ki
2025-04-21T13:14:07Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:07Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,497808n,14272Ki
2025-04-21T13:14:07Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:07Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,82581n,17780Ki
2025-04-21T13:14:07Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:07Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,167755n,21832Ki
2025-04-21T13:14:07Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,238234n,12076Ki
2025-04-21T13:14:07Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:07Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:08Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,824349n,18984Ki
2025-04-21T13:14:08Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:08Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,497808n,14272Ki
2025-04-21T13:14:08Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:08Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,82581n,17780Ki
2025-04-21T13:14:08Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:08Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,167755n,21832Ki
2025-04-21T13:14:08Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,238234n,12076Ki
2025-04-21T13:14:08Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:08Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:10Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,824349n,18984Ki
2025-04-21T13:14:10Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:10Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,497808n,14272Ki
2025-04-21T13:14:10Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:10Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,82581n,17780Ki
2025-04-21T13:14:10Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:10Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,167755n,21832Ki
2025-04-21T13:14:10Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,238234n,12076Ki
2025-04-21T13:14:10Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:10Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:11Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,804498n,18984Ki
2025-04-21T13:14:11Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:11Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,486894n,14272Ki
2025-04-21T13:14:11Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:11Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,129102n,17780Ki
2025-04-21T13:14:11Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:11Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,197900n,21832Ki
2025-04-21T13:14:11Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240318n,12080Ki
2025-04-21T13:14:11Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:11Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:13Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,824349n,18984Ki
2025-04-21T13:14:13Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:13Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,497808n,14272Ki
2025-04-21T13:14:13Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:13Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,82581n,17780Ki
2025-04-21T13:14:13Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:13Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,167755n,21832Ki
2025-04-21T13:14:13Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,238234n,12076Ki
2025-04-21T13:14:13Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:13Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:14Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,804498n,18984Ki
2025-04-21T13:14:14Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:14Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,486894n,14272Ki
2025-04-21T13:14:14Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:14Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,129102n,17780Ki
2025-04-21T13:14:14Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:14Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,197900n,21832Ki
2025-04-21T13:14:14Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240318n,12080Ki
2025-04-21T13:14:14Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:14Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:15Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,804498n,18984Ki
2025-04-21T13:14:15Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:15Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,486894n,14272Ki
2025-04-21T13:14:15Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:15Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,129102n,17780Ki
2025-04-21T13:14:15Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:15Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,197900n,21832Ki
2025-04-21T13:14:15Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240318n,12080Ki
2025-04-21T13:14:15Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:15Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:17Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,824349n,18984Ki
2025-04-21T13:14:17Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:17Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,497808n,14272Ki
2025-04-21T13:14:17Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:17Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,82581n,17780Ki
2025-04-21T13:14:17Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:17Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,167755n,21832Ki
2025-04-21T13:14:17Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,238234n,12076Ki
2025-04-21T13:14:17Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:17Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:18Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,804498n,18984Ki
2025-04-21T13:14:18Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:18Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,486894n,14272Ki
2025-04-21T13:14:18Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:18Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,129102n,17780Ki
2025-04-21T13:14:18Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:18Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,197900n,21832Ki
2025-04-21T13:14:18Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240318n,12080Ki
2025-04-21T13:14:18Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:18Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:20Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,804498n,18984Ki
2025-04-21T13:14:20Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:20Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,486894n,14272Ki
2025-04-21T13:14:20Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:20Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,129102n,17780Ki
2025-04-21T13:14:20Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:20Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,197900n,21832Ki
2025-04-21T13:14:20Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240318n,12080Ki
2025-04-21T13:14:20Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:20Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:21Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,824349n,18984Ki
2025-04-21T13:14:21Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:21Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,497808n,14272Ki
2025-04-21T13:14:21Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:21Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,82581n,17780Ki
2025-04-21T13:14:21Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:21Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,167755n,21832Ki
2025-04-21T13:14:21Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,238234n,12076Ki
2025-04-21T13:14:21Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:21Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:22Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,824349n,18984Ki
2025-04-21T13:14:22Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:22Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,497808n,14272Ki
2025-04-21T13:14:22Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:22Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,82581n,17780Ki
2025-04-21T13:14:22Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:22Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,167755n,21832Ki
2025-04-21T13:14:22Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,238234n,12076Ki
2025-04-21T13:14:22Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:22Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:24Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,804498n,18984Ki
2025-04-21T13:14:24Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:24Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,486894n,14272Ki
2025-04-21T13:14:24Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:24Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,129102n,17780Ki
2025-04-21T13:14:24Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:24Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,197900n,21832Ki
2025-04-21T13:14:24Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240318n,12080Ki
2025-04-21T13:14:24Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:24Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:25Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,824349n,18984Ki
2025-04-21T13:14:25Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:25Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,497808n,14272Ki
2025-04-21T13:14:25Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:25Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,82581n,17780Ki
2025-04-21T13:14:25Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:25Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,167755n,21832Ki
2025-04-21T13:14:25Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,238234n,12076Ki
2025-04-21T13:14:25Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:25Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:26Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,804498n,18984Ki
2025-04-21T13:14:26Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,281558n,5888Ki
2025-04-21T13:14:26Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,486894n,14272Ki
2025-04-21T13:14:26Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,128545n,15008Ki
2025-04-21T13:14:26Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,129102n,17780Ki
2025-04-21T13:14:26Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254117n,12064Ki
2025-04-21T13:14:26Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,197900n,21832Ki
2025-04-21T13:14:26Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,240318n,12080Ki
2025-04-21T13:14:26Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,327454250n,17836Ki
2025-04-21T13:14:26Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,335372583n,17976Ki
2025-04-21T13:14:28Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,804498n,18984Ki
