timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T11:47:55Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1564307n,49724Ki
2025-04-21T11:47:55Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,224330239n,6668Ki
2025-04-21T11:47:55Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:47:55Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,316145384n,49708Ki
2025-04-21T11:47:56Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1564307n,49724Ki
2025-04-21T11:47:56Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,224330239n,6668Ki
2025-04-21T11:47:56Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:47:56Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,316145384n,49708Ki
2025-04-21T11:47:57Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1603784n,49724Ki
2025-04-21T11:47:57Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,229815905n,6668Ki
2025-04-21T11:47:57Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:47:57Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,307770966n,49708Ki
2025-04-21T11:47:58Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1603784n,49724Ki
2025-04-21T11:47:58Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,229815905n,6668Ki
2025-04-21T11:47:58Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:47:58Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,307770966n,49708Ki
2025-04-21T11:48:00Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1564307n,49724Ki
2025-04-21T11:48:00Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,224330239n,6668Ki
2025-04-21T11:48:00Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:00Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,316145384n,49708Ki
2025-04-21T11:48:01Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1564307n,49724Ki
2025-04-21T11:48:01Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,224330239n,6668Ki
2025-04-21T11:48:01Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:01Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,316145384n,49708Ki
2025-04-21T11:48:02Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1564307n,49724Ki
2025-04-21T11:48:02Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,224330239n,6668Ki
2025-04-21T11:48:02Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:02Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,316145384n,49708Ki
2025-04-21T11:48:03Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1603784n,49724Ki
2025-04-21T11:48:03Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,229815905n,6668Ki
2025-04-21T11:48:03Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:03Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,307770966n,49708Ki
2025-04-21T11:48:05Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1564307n,49724Ki
2025-04-21T11:48:05Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,224330239n,6668Ki
2025-04-21T11:48:05Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:05Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,316145384n,49708Ki
2025-04-21T11:48:06Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1603784n,49724Ki
2025-04-21T11:48:06Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,229815905n,6668Ki
2025-04-21T11:48:06Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:06Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,307770966n,49708Ki
2025-04-21T11:48:07Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1603784n,49724Ki
2025-04-21T11:48:07Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,229815905n,6668Ki
2025-04-21T11:48:07Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:07Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,307770966n,49708Ki
2025-04-21T11:48:08Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1564307n,49724Ki
2025-04-21T11:48:08Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,224330239n,6668Ki
2025-04-21T11:48:08Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:08Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,316145384n,49708Ki
2025-04-21T11:48:09Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1603784n,49724Ki
2025-04-21T11:48:09Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,229815905n,6668Ki
2025-04-21T11:48:09Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:09Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,307770966n,49708Ki
2025-04-21T11:48:11Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1564307n,49724Ki
2025-04-21T11:48:11Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,224330239n,6668Ki
2025-04-21T11:48:11Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:11Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,316145384n,49708Ki
2025-04-21T11:48:12Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1603784n,49724Ki
2025-04-21T11:48:12Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,229815905n,6668Ki
2025-04-21T11:48:12Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:12Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,307770966n,49708Ki
2025-04-21T11:48:13Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1564307n,49724Ki
2025-04-21T11:48:13Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,224330239n,6668Ki
2025-04-21T11:48:13Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:13Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,316145384n,49708Ki
2025-04-21T11:48:14Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1603784n,49724Ki
2025-04-21T11:48:14Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,229815905n,6668Ki
2025-04-21T11:48:14Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:14Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,307770966n,49708Ki
2025-04-21T11:48:15Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1603784n,49724Ki
2025-04-21T11:48:15Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,229815905n,6668Ki
2025-04-21T11:48:15Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:15Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,307770966n,49708Ki
2025-04-21T11:48:17Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1603784n,49724Ki
2025-04-21T11:48:17Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,229815905n,6668Ki
2025-04-21T11:48:17Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,34342n,1720Ki
2025-04-21T11:48:17Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,307770966n,49708Ki
