timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T12:01:17Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:17Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:17Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:17Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:18Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:18Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:18Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:18Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:19Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:19Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:19Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:19Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:20Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:20Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:20Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:20Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:21Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:21Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:21Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:21Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:23Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:23Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:23Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:23Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:24Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:24Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:24Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:24Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:25Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:25Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:25Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:25Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:26Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:26Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:26Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:26Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:27Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:27Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:27Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:27Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:29Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:29Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:29Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:29Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:30Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:30Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:30Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:30Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:31Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:31Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:31Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:31Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:32Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:32Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:32Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:32Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:33Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:33Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:33Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:33Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:35Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:35Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:35Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:35Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:36Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:36Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:36Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:36Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:37Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:37Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:37Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:37Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:38Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:38Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:38Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:38Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:40Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:40Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:40Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:40Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:41Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1626013n,49748Ki
2025-04-21T12:01:41Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,519014044n,28596Ki
2025-04-21T12:01:41Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,38690n,1728Ki
2025-04-21T12:01:41Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:42Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:42Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
2025-04-21T12:01:42Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,43547n,1724Ki
2025-04-21T12:01:42Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,536536323n,80468Ki
2025-04-21T12:01:43Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1550062n,49760Ki
2025-04-21T12:01:43Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,489175043n,28596Ki
