timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T13:51:28Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,784793n,19052Ki
2025-04-21T13:51:28Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,183227n,5928Ki
2025-04-21T13:51:28Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,443321n,14328Ki
2025-04-21T13:51:28Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,114048n,15020Ki
2025-04-21T13:51:28Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,145033n,17784Ki
2025-04-21T13:51:28Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254085n,11764Ki
2025-04-21T13:51:28Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,93246n,21832Ki
2025-04-21T13:51:28Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,242560n,11756Ki
2025-04-21T13:51:28Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,532097370n,30380Ki
2025-04-21T13:51:28Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,528071597n,32832Ki
2025-04-21T13:51:29Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,784793n,19052Ki
2025-04-21T13:51:29Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,183227n,5928Ki
2025-04-21T13:51:29Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,443321n,14328Ki
2025-04-21T13:51:29Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,114048n,15020Ki
2025-04-21T13:51:29Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,145033n,17784Ki
2025-04-21T13:51:29Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254085n,11764Ki
2025-04-21T13:51:29Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,93246n,21832Ki
2025-04-21T13:51:29Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,242560n,11756Ki
2025-04-21T13:51:29Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,532097370n,30380Ki
2025-04-21T13:51:29Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,528071597n,32832Ki
2025-04-21T13:51:31Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,761947n,19052Ki
2025-04-21T13:51:31Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,173608n,5928Ki
2025-04-21T13:51:31Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,450857n,14300Ki
2025-04-21T13:51:31Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,114048n,15020Ki
2025-04-21T13:51:31Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,120047n,17784Ki
2025-04-21T13:51:31Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,251176n,11764Ki
2025-04-21T13:51:31Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,93246n,21832Ki
2025-04-21T13:51:31Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,235417n,11756Ki
2025-04-21T13:51:31Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,532097370n,30380Ki
2025-04-21T13:51:31Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,528071597n,32832Ki
2025-04-21T13:51:32Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,784793n,19052Ki
2025-04-21T13:51:32Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,policy,183227n,5928Ki
2025-04-21T13:51:32Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,linkerd-proxy,443321n,14328Ki
2025-04-21T13:51:32Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,sp-validator,114048n,15020Ki
2025-04-21T13:51:32Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,identity,145033n,17784Ki
2025-04-21T13:51:32Z,control-plane,linkerd,linkerd-identity-7f7b555cb5-l9rm9,linkerd-proxy,254085n,11764Ki
2025-04-21T13:51:32Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,proxy-injector,93246n,21832Ki
2025-04-21T13:51:32Z,control-plane,linkerd,linkerd-proxy-injector-68cfdddd99-z7jlx,linkerd-proxy,242560n,11756Ki
2025-04-21T13:51:32Z,data-plane,service-mesh-benchmark,fortio-client-9f8c97688-nt6vr,linkerd-proxy,532097370n,30380Ki
2025-04-21T13:51:32Z,data-plane,service-mesh-benchmark,fortio-server-6bfd5dcc56-jdbsf,linkerd-proxy,528071597n,32832Ki
2025-04-21T13:51:33Z,control-plane,linkerd,linkerd-destination-55885c465d-6ppxr,destination,761947n,19052Ki
