timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-21T12:21:38Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1390381n,49780Ki
2025-04-21T12:21:38Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,555266880n,13516Ki
2025-04-21T12:21:38Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35977n,1736Ki
2025-04-21T12:21:38Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,969785296n,80508Ki
2025-04-21T12:21:40Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1390381n,49780Ki
2025-04-21T12:21:40Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,555266880n,13516Ki
2025-04-21T12:21:40Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35977n,1736Ki
2025-04-21T12:21:40Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,969785296n,80508Ki
2025-04-21T12:21:41Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1415578n,49772Ki
2025-04-21T12:21:41Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,555266880n,13516Ki
2025-04-21T12:21:41Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35977n,1736Ki
2025-04-21T12:21:41Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,969785296n,80508Ki
2025-04-21T12:21:42Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1415578n,49772Ki
2025-04-21T12:21:42Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,555266880n,13516Ki
2025-04-21T12:21:42Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35977n,1736Ki
2025-04-21T12:21:42Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,969785296n,80508Ki
2025-04-21T12:21:43Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1390381n,49780Ki
2025-04-21T12:21:43Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,555266880n,13516Ki
2025-04-21T12:21:43Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35977n,1736Ki
2025-04-21T12:21:43Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,969785296n,80508Ki
2025-04-21T12:21:44Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1415578n,49772Ki
2025-04-21T12:21:44Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,555266880n,13516Ki
2025-04-21T12:21:44Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,35977n,1736Ki
2025-04-21T12:21:44Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,969785296n,80508Ki
2025-04-21T12:21:46Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1339940n,49776Ki
2025-04-21T12:21:46Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:46Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:46Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:47Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1339940n,49776Ki
2025-04-21T12:21:47Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:47Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:47Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:48Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1339940n,49776Ki
2025-04-21T12:21:48Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:48Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:48Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:49Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1339940n,49776Ki
2025-04-21T12:21:49Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:49Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:49Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:50Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1377593n,49776Ki
2025-04-21T12:21:50Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:50Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:50Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:52Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1339940n,49776Ki
2025-04-21T12:21:52Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:52Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:52Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:53Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1339940n,49776Ki
2025-04-21T12:21:53Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:53Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:53Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:54Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1377593n,49776Ki
2025-04-21T12:21:54Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:54Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:54Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:55Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1339940n,49776Ki
2025-04-21T12:21:55Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:55Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:55Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:56Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1377593n,49776Ki
2025-04-21T12:21:56Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:56Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:56Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:58Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1377593n,49776Ki
2025-04-21T12:21:58Z,data-plane,istio-system,ztunnel-bhcxb,istio-proxy,89524609n,12980Ki
2025-04-21T12:21:58Z,data-plane,istio-system,ztunnel-jgfsc,istio-proxy,33742n,1732Ki
2025-04-21T12:21:58Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-d4t9g,istio-proxy,79078211n,80524Ki
2025-04-21T12:21:59Z,control-plane,istio-system,istiod-76fc5bc774-gthxc,discovery,1339940n,49776Ki
