timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-05-18T14:18:23Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,917433n,19088Ki
2025-05-18T14:18:23Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,243565n,4088Ki
2025-05-18T14:18:23Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,475370n,14428Ki
2025-05-18T14:18:23Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,123321n,14704Ki
2025-05-18T14:18:23Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,125166n,16620Ki
2025-05-18T14:18:23Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,270782n,9996Ki
2025-05-18T14:18:23Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,193496n,19960Ki
2025-05-18T14:18:23Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,269857n,11740Ki
2025-05-18T14:18:23Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,77651440n,15888Ki
2025-05-18T14:18:23Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,85668234n,16964Ki
2025-05-18T14:18:25Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,917433n,19088Ki
2025-05-18T14:18:25Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,243565n,4088Ki
2025-05-18T14:18:25Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,475370n,14428Ki
2025-05-18T14:18:25Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,123321n,14704Ki
2025-05-18T14:18:25Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,identity,125166n,16620Ki
2025-05-18T14:18:25Z,control-plane,linkerd,linkerd-identity-654cd64ff-w7mgs,linkerd-proxy,270782n,9996Ki
2025-05-18T14:18:25Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,proxy-injector,193496n,19960Ki
2025-05-18T14:18:25Z,control-plane,linkerd,linkerd-proxy-injector-8c8559bd-4jt6c,linkerd-proxy,269857n,11740Ki
2025-05-18T14:18:25Z,data-plane,service-mesh-benchmark,fortio-client-79ffbb4d64-4ft6s,linkerd-proxy,77651440n,15888Ki
2025-05-18T14:18:25Z,data-plane,service-mesh-benchmark,fortio-server-596bcd8474-ql7kq,linkerd-proxy,85668234n,16964Ki
2025-05-18T14:18:26Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,destination,917433n,19088Ki
2025-05-18T14:18:26Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,policy,243565n,4088Ki
2025-05-18T14:18:26Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,linkerd-proxy,475370n,14428Ki
2025-05-18T14:18:26Z,control-plane,linkerd,linkerd-destination-77df8d55b6-gz59q,sp-validator,123321n,14704Ki
