timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-05-18T12:58:46Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:46Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:46Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:46Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:58:48Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:48Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:48Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:48Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:58:49Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:49Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:49Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:49Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:58:50Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:50Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:50Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:50Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:58:51Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:51Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:51Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:51Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:58:52Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:52Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:52Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:52Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:58:54Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:54Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:54Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:54Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:58:55Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:55Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:55Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:55Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:58:56Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:56Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:56Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:56Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:58:57Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:57Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:57Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:57Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:58:59Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:58:59Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:58:59Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:58:59Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:59:00Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:59:00Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:59:00Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:59:00Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:59:01Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1486422n,61732Ki
2025-05-18T12:59:01Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,31379n,3768Ki
2025-05-18T12:59:01Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,800918158n,40072Ki
2025-05-18T12:59:01Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1812145141n,165268Ki
2025-05-18T12:59:02Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:02Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:02Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:02Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:04Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:04Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:04Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:04Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:05Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:05Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:05Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:05Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:06Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:06Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:06Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:06Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:07Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:07Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:07Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:07Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:09Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:09Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:09Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:09Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:10Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:10Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:10Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:10Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:11Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:11Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:11Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:11Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:12Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:12Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:12Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:12Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:14Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:14Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:14Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:14Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:15Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:15Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:15Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:15Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:16Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:16Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:16Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:16Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:17Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:17Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:17Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:17Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:18Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:18Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:18Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:18Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:20Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:20Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
2025-05-18T12:59:20Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,505782877n,55404Ki
2025-05-18T12:59:20Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,1169966086n,194052Ki
2025-05-18T12:59:21Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1718917n,61860Ki
2025-05-18T12:59:21Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,33592n,3772Ki
