timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-05-02T11:45:41Z,control-plane,linkerd,linkerd-destination-7f8f5bb7f9-kpmkx,destination,678694n,22036Ki
2025-05-02T11:45:41Z,control-plane,linkerd,linkerd-destination-7f8f5bb7f9-kpmkx,policy,131733n,7760Ki
2025-05-02T11:45:41Z,control-plane,linkerd,linkerd-destination-7f8f5bb7f9-kpmkx,linkerd-proxy,913972n,17160Ki
2025-05-02T11:45:41Z,control-plane,linkerd,linkerd-destination-7f8f5bb7f9-kpmkx,sp-validator,117021n,16972Ki
2025-05-02T11:45:41Z,control-plane,linkerd,linkerd-identity-684f8c86cf-c2g5t,identity,68165n,15148Ki
2025-05-02T11:45:41Z,control-plane,linkerd,linkerd-identity-684f8c86cf-c2g5t,linkerd-proxy,225816n,10244Ki
2025-05-02T11:45:41Z,control-plane,linkerd,linkerd-proxy-injector-87bbc47c9-hcpgm,proxy-injector,188814n,28340Ki
2025-05-02T11:45:41Z,control-plane,linkerd,linkerd-proxy-injector-87bbc47c9-hcpgm,linkerd-proxy,235834n,12076Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-25k2k,linkerd-proxy,53530609n,14808Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-2srpf,linkerd-proxy,173003n,12100Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-55g2l,linkerd-proxy,53902372n,14776Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-56wbm,linkerd-proxy,46094590n,14688Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-5b74x,linkerd-proxy,49784175n,14700Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-5f2fw,linkerd-proxy,188745n,12100Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-5glg2,linkerd-proxy,56288208n,14800Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-5nbkp,linkerd-proxy,46460430n,14616Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-5rhdw,linkerd-proxy,49374704n,14856Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-7t86p,linkerd-proxy,52276095n,14808Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-925p9,linkerd-proxy,57120548n,14700Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-c8kkt,linkerd-proxy,54584085n,14780Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-dg5w6,linkerd-proxy,169938n,12104Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-frr7l,linkerd-proxy,47143677n,14828Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-kdmdg,linkerd-proxy,56546553n,14760Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-kgl9p,linkerd-proxy,54254942n,14844Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-khvww,linkerd-proxy,57411943n,14876Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-l6l4s,linkerd-proxy,191502n,12100Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-lh966,linkerd-proxy,57448788n,14760Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-nczgp,linkerd-proxy,47826591n,14744Ki
2025-05-02T11:45:41Z,data-plane,service-mesh-benchmark,fortio-client-bdc57cff7-qrfvl,linkerd-proxy,51566960n,14860Ki
